Date,High,Low,Open,Close,Volume,Adj Close
2016-08-13,585.6660156,564.7810059,585.5889893,570.4730225,60851100,570.4730225
2016-08-14,573.5800171,563.2399902,570.4940186,567.2399902,57262300,567.2399902
2016-08-15,581.7379761,566.7160034,567.242981,577.4390259,58405200,577.4390259
2016-08-16,580.8939819,571.4299927,577.7609863,573.2160034,54443000,573.2160034
2016-08-17,577.7919922,573.4299927,573.7069702,574.3179932,59896600,574.3179932
2016-08-18,578.2379761,574.1820068,574.3389893,575.6300049,50631600,575.6300049
2016-08-19,582.8179932,575.4569702,576.0839844,581.6970215,45301400,581.6970215
2016-08-20,584.15802,580.2180176,581.9390259,581.3079834,38299400,581.3079834
2016-08-21,588.447998,580.5939941,581.3109741,586.7529907,72844000,586.7529907
2016-08-22,589.473999,581.6339722,586.7709961,583.414978,85349200,583.414978
2016-08-23,583.5900269,579.8549805,583.4119873,580.1820068,56328200,580.1820068
2016-08-24,580.4509888,575.1669922,580.1799927,577.7609863,136130000,577.7609863
2016-08-25,580.6229858,576.8579712,577.7529907,579.651001,48856800,579.651001
2016-08-26,579.8449707,568.6300049,579.4520264,569.9470215,59698300,569.9470215
2016-08-27,574.0380249,569.7399902,569.8300171,573.9119873,86301600,573.9119873
2016-08-28,576.2780151,573.4650269,574.0709839,574.1069946,110398000,574.1069946
2016-08-29,578.3569946,574.1140137,574.1140137,577.5029907,70342400,577.5029907
2016-08-30,577.8610229,573.6420288,577.5910034,575.4719849,75840896,575.4719849
2016-08-31,576.3109741,571.8140259,575.5460205,572.3029785,76923400,572.3029785
2016-09-01,575.6430054,570.8109741,572.4099731,575.5369873,79910800,575.5369873
2016-09-02,599.5,574.0560303,575.5549927,598.2119751,159014000,598.2119751
2016-09-03,611.8369751,596.8480225,598.5900269,608.6339722,97942896,608.6339722
2016-09-04,609.0549927,602.2420044,608.9899902,606.5900269,82446800,606.5900269
2016-09-05,610.8300171,605.0910034,606.5059814,610.4359741,78529104,610.4359741
2016-09-06,614.5449829,608.5130005,610.572998,614.5440063,75032400,614.5440063
2016-09-07,628.7700195,613.8439941,614.6350098,626.315979,86713000,626.315979
2016-09-08,626.8300171,620.2630005,626.3519897,622.8610229,64550200,622.8610229
2016-09-09,625.0949707,622.3950195,622.927002,623.5089722,45016800,623.5089722
2016-09-10,628.8179932,600.5059814,623.4240112,606.7189941,73610800,606.7189941
2016-09-11,608.4589844,605.4110107,607.0050049,608.242981,72812304,608.242981
2016-09-12,611.1929932,606.9249878,608.0250244,609.2410278,86920600,609.2410278
2016-09-13,611.9520264,608.4099731,608.8410034,610.684021,47877700,610.684021
2016-09-14,611.0859985,607.1550293,610.5880127,607.1550293,59464600,607.1550293
2016-09-15,609.2609863,606.7349854,607.2459717,606.9730225,64963400,606.9730225
2016-09-16,607.8599854,605.1920166,607.2180176,605.9840088,37140300,605.9840088
2016-09-17,610.15802,605.8560181,606.28302,609.8740234,48679400,609.8740234
2016-09-18,610.9320068,608.2700195,609.8709717,609.2269897,54796400,609.2269897
2016-09-19,609.5250244,607.9379883,609.2540283,608.3120117,72710896,608.3120117
2016-09-20,603.5880127,595.8829956,603.5880127,597.1489868,82776200,597.1489868
2016-09-21,598.4869995,596.2130127,597.2789917,596.2979736,67085300,596.2979736
2016-09-22,603.2050171,595.7860107,596.1989746,602.84198,51067000,602.84198
2016-09-23,604.5800171,602.0449829,602.9609985,602.625,35359500,602.625
2016-09-24,603.3809814,599.7109985,602.7490234,600.8259888,33977800,600.8259888
2016-09-25,608.1430054,600.348999,600.8070068,608.0430298,59153800,608.0430298
2016-09-26,608.2479858,604.1099854,608.0219727,606.1660156,49422400,606.1660156
2016-09-27,606.5900269,604.6069946,606.242981,604.7280273,48722600,604.7280273
2016-09-28,606.8239746,604.8480225,605.0189819,605.6929932,55658600,605.6929932
2016-09-29,609.7349854,604.1420288,605.7150269,609.7349854,56122400,609.7349854
2016-09-30,615.2369995,609.9290161,609.9290161,613.9829712,56357000,613.9829712
2016-10-01,614.0050049,609.6820068,613.947998,610.8920288,39249800,610.8920288
